Case Number Tax,Sale Date,Add Date,Status,Final Judgment,Opening Bid,Assessed Value,Folio
2021A00080,05/20/2021,03/24/2021,Accepting Proxy,0,20561.9,306200.0,232110622580
2020A01386,05/20/2021,03/24/2021,Accepting Proxy,0,4173.67,37650.0,3122140450680
2020A01388,05/20/2021,03/24/2021,Accepting Proxy,0,344033.83,594934.0,3050090001320
2021A00081,05/20/2021,03/25/2021,Accepting Proxy,0,29187.62,766600.0,232330411840
2021A00053,05/20/2021,03/25/2021,Accepting Proxy,0,26811.99,146138.0,821210024510
2021A00056,05/20/2021,03/25/2021,Accepting Proxy,0,12201.39,111626.0,622280440890
2021A00034,05/20/2021,03/25/2021,Accepting Proxy,0,10822.27,136000.0,3122110220340
2021A00082,05/20/2021,03/25/2021,Accepting Proxy,0,24026.35,286833.0,431060490130
2021A00060,05/20/2021,03/25/2021,Accepting Proxy,0,3987.21,23000.0,1222260080150
2021A00035,05/20/2021,03/25/2021,Accepting Proxy,0,35117.24,416119.0,141381572670
2021A00064,05/20/2021,03/25/2021,Accepting Proxy,0,67065.65,119822.0,3031100530630
2021A00084,05/20/2021,03/25/2021,Accepting Proxy,0,3987.21,23000.0,1222260080140
2021A00039,05/20/2021,03/26/2021,Accepting Proxy,0,32570.38,296840.0,131270450050
2020A01389,05/20/2021,03/26/2021,Accepting Proxy,0,8170.82,129030.0,3050190040090
2021A00061,05/20/2021,03/26/2021,Accepting Proxy,0,16143.23,201592.0,3040230921550
2021A00087,05/20/2021,03/26/2021,Accepting Proxy,0,89487.29,167713.0,3021270150440
2020A01390,05/20/2021,03/26/2021,Accepting Proxy,0,8488.64,134100.0,2812340543790
2021A00088,05/20/2021,03/26/2021,Accepting Proxy,0,15948.14,122940.0,3022200021801
2021A00089,05/20/2021,03/26/2021,Accepting Proxy,0,16672.78,26834.0,3031100571280
2021A00065,05/20/2021,03/26/2021,Accepting Proxy,0,8208.27,60594.0,3031150055850
2021A00090,05/20/2021,03/26/2021,Accepting Proxy,0,5140.09,37502.0,3031220081890
2021A00066,05/20/2021,03/26/2021,Accepting Proxy,0,10691.17,,3031150210350
2021A00091,05/20/2021,03/26/2021,Accepting Proxy,0,5655.77,55212.0,3031220290080
2021A00094,05/20/2021,03/26/2021,Accepting Proxy,0,5503.53,60280.0,3068010013680
