Case Number Eviction,Folio,Filing Date
2020-004019-CC-24,232020020600,12/23/2020
2020-004049-CC-24,242030094370,12/31/2020
2020-006773-CC-20,3031100572090,11/30/2020
2020-006778-CC-20,131140350270,12/01/2020
2020-006779-CC-20,3031030280230,12/01/2020
2020-006780-CC-20,3021350000136,12/01/2020
2020-006784-CC-20,102080601150,12/01/2020
2020-006787-CC-20,131220520330,12/01/2020
2020-006791-CC-20,131140270390,12/02/2020
2020-006795-CC-20,3031020040010,12/02/2020
2020-006800-CC-20,131270110473,12/02/2020
2020-006801-CC-20,131140120290,12/02/2020
2020-006804-CC-20,3031160040110,11/20/2020
2020-006818-CC-20,131140260200,12/05/2020
2020-006822-CC-20,131250370420,12/07/2020
2020-006823-CC-20,3031150053790,12/03/2020
2020-006824-CC-20,131240131151,12/04/2020
2020-006825-CC-20,3021330022320,12/04/2020
2020-006827-CC-20,131250400100,12/07/2020
2020-006828-CC-20,131140410810,12/07/2020
2020-006829-CC-20,3031090000120,12/07/2020
2020-006845-CC-20,3031220000683,12/08/2020
2020-006846-CC-20,131220140940,12/07/2020
2020-006847-CC-20,131220141350,12/07/2020
2020-006848-CC-20,3021360150200,12/08/2020
2020-006851-CC-20,131270100440,12/08/2020
2020-006852-CC-20,3031110650010,12/08/2020
2020-006853-CC-20,131260391260,12/08/2020
2020-006854-CC-20,131230140800,12/08/2020
2020-006857-CC-20,131230120340,12/08/2020
2020-006860-CC-20,131220523400,12/08/2020
2020-006862-CC-20,131120930030,12/09/2020
2020-006865-CC-20,131260394470,12/09/2020
2020-006867-CC-20,3031030141950,12/09/2020
2020-006868-CC-20,3031020000400,12/10/2020
2020-006870-CC-20,3031210001320,12/09/2020
2020-006871-CC-20,3031220060300,12/09/2020
2020-006872-CC-20,131120170291,12/09/2020
2020-006873-CC-20,131250190450,12/10/2020
2020-006874-CC-20,131270010190,12/10/2020
2020-006875-CC-20,3031160100220,12/08/2020
2020-006882-CC-20,131140230430,12/10/2020
2020-006884-CC-20,131250830090,12/10/2020
2020-006885-CC-20,3031210001020,12/10/2020
2020-006886-CC-20,3031121062650,12/10/2020
2020-006888-CC-20,131140120610,12/11/2020
2020-006889-CC-20,3031100020020,12/11/2020
2020-006890-CC-20,131250330360,12/11/2020
2020-006891-CC-20,3031110100250,12/11/2020
2020-006901-CC-20,3021330022560,12/11/2020
2020-006921-CC-20,131260360690,12/14/2020
2020-006922-CC-20,131220082390,12/14/2020
2020-006923-CC-20,3031210330040,12/14/2020
2020-006924-CC-20,131250420100,12/14/2020
2020-006925-CC-20,3031160100090,12/14/2020
2020-006928-CC-20,131140431810,12/15/2020
2020-006930-CC-20,131140430291,12/15/2020
2020-006931-CC-20,3031280112141,12/15/2020
2020-006932-CC-20,431050061425,12/15/2020
2020-006937-CC-20,3031210370770,12/16/2020
2020-006939-CC-20,131230300150,12/16/2020
2020-006940-CC-20,131260090470,12/16/2020
2020-006941-CC-20,131271180020,12/16/2020
2020-006942-CC-20,131140352050,12/16/2020
2020-006945-CC-20,131270140170,12/16/2020
2020-006947-CC-20,131270190091,12/16/2020
2020-006948-CC-20,131270101200,12/16/2020
2020-006949-CC-20,131260770010,12/16/2020
2020-006951-CC-20,3031160097481,12/17/2020
2020-006957-CC-20,131131060010,12/17/2020
2020-006958-CC-20,131250420110,12/17/2020
2020-006961-CC-20,131260220170,12/17/2020
2020-006962-CC-20,131130630521,12/17/2020
2020-006964-CC-20,131260300410,12/18/2020
2020-006965-CC-20,3031160030071,12/18/2020
2020-006972-CC-20,431060080160,12/15/2020
2020-006973-CC-20,131140352490,12/18/2020
2020-006975-CC-20,131120320040,12/21/2020
2020-006976-CC-20,131260361060,12/21/2020
2020-006979-CC-20,131150040020,12/22/2020
2020-006982-CC-20,131140370060,12/22/2020
2020-006983-CC-20,3031110470110,12/22/2020
2020-006984-CC-20,3031110640010,12/22/2020
2020-006988-CC-20,3031040038080,12/22/2020
2020-006989-CC-20,131250390330,12/22/2020
2020-006991-CC-20,3031100250420,12/23/2020
2020-006992-CC-20,3031020130960,12/23/2020
2020-006993-CC-20,3031150051490,12/23/2020
2020-007005-CC-20,131220140410,12/24/2020
